Iterations: 38886
Time taken: 22.939908
x,	phi(x,0)
-1.0000	+0.0000
-0.9900	+0.0037
-0.9800	+0.0074
-0.9700	+0.0109
-0.9600	+0.0144
-0.9500	+0.0178
-0.9400	+0.0210
-0.9300	+0.0242
-0.9200	+0.0273
-0.9100	+0.0303
-0.9000	+0.0333
-0.8900	+0.0361
-0.8800	+0.0389
-0.8700	+0.0416
-0.8600	+0.0442
-0.8500	+0.0467
-0.8400	+0.0491
-0.8300	+0.0515
-0.8200	+0.0539
-0.8100	+0.0561
-0.8000	+0.0583
-0.7900	+0.0604
-0.7800	+0.0624
-0.7700	+0.0644
-0.7600	+0.0664
-0.7500	+0.0682
-0.7400	+0.0700
-0.7300	+0.0718
-0.7200	+0.0735
-0.7100	+0.0752
-0.7000	+0.0768
-0.6900	+0.0783
-0.6800	+0.0798
-0.6700	+0.0813
-0.6600	+0.0827
-0.6500	+0.0841
-0.6400	+0.0854
-0.6300	+0.0867
-0.6200	+0.0879
-0.6100	+0.0891
-0.6000	+0.0903
-0.5900	+0.0914
-0.5800	+0.0926
-0.5700	+0.0936
-0.5600	+0.0947
-0.5500	+0.0957
-0.5400	+0.0967
-0.5300	+0.0976
-0.5200	+0.0986
-0.5100	+0.0995
-0.5000	+0.1004
-0.4900	+0.1013
-0.4800	+0.1021
-0.4700	+0.1029
-0.4600	+0.1037
-0.4500	+0.1045
-0.4400	+0.1053
-0.4300	+0.1061
-0.4200	+0.1068
-0.4100	+0.1076
-0.4000	+0.1083
-0.3900	+0.1090
-0.3800	+0.1097
-0.3700	+0.1104
-0.3600	+0.1111
-0.3500	+0.1118
-0.3400	+0.1125
-0.3300	+0.1131
-0.3200	+0.1138
-0.3100	+0.1145
-0.3000	+0.1151
-0.2900	+0.1158
-0.2800	+0.1165
-0.2700	+0.1171
-0.2600	+0.1178
-0.2500	+0.1184
-0.2400	+0.1191
-0.2300	+0.1198
-0.2200	+0.1205
-0.2100	+0.1211
-0.2000	+0.1218
-0.1900	+0.1225
-0.1800	+0.1232
-0.1700	+0.1239
-0.1600	+0.1246
-0.1500	+0.1253
-0.1400	+0.1261
-0.1300	+0.1268
-0.1200	+0.1276
-0.1100	+0.1283
-0.1000	+0.1291
-0.0900	+0.1299
-0.0800	+0.1306
-0.0700	+0.1314
