Iterations: 24330
Time taken: 6.220050
x,	phi(x,0)
-1.0000	+0.0000
-0.9900	+0.0038
-0.9800	+0.0075
-0.9700	+0.0111
-0.9600	+0.0146
-0.9500	+0.0180
-0.9400	+0.0213
-0.9300	+0.0246
-0.9200	+0.0277
-0.9100	+0.0308
-0.9000	+0.0338
-0.8900	+0.0367
-0.8800	+0.0395
-0.8700	+0.0422
-0.8600	+0.0449
-0.8500	+0.0474
-0.8400	+0.0499
-0.8300	+0.0524
-0.8200	+0.0547
-0.8100	+0.0570
-0.8000	+0.0593
-0.7900	+0.0614
-0.7800	+0.0635
-0.7700	+0.0656
-0.7600	+0.0676
-0.7500	+0.0695
-0.7400	+0.0713
-0.7300	+0.0731
-0.7200	+0.0749
-0.7100	+0.0766
-0.7000	+0.0782
-0.6900	+0.0798
-0.6800	+0.0814
-0.6700	+0.0829
-0.6600	+0.0844
-0.6500	+0.0858
-0.6400	+0.0872
-0.6300	+0.0885
-0.6200	+0.0898
-0.6100	+0.0910
-0.6000	+0.0923
-0.5900	+0.0935
-0.5800	+0.0946
-0.5700	+0.0957
-0.5600	+0.0968
-0.5500	+0.0979
-0.5400	+0.0989
-0.5300	+0.0999
-0.5200	+0.1009
-0.5100	+0.1019
-0.5000	+0.1028
-0.4900	+0.1037
-0.4800	+0.1046
-0.4700	+0.1055
-0.4600	+0.1064
-0.4500	+0.1072
-0.4400	+0.1080
-0.4300	+0.1088
-0.4200	+0.1096
-0.4100	+0.1104
-0.4000	+0.1112
-0.3900	+0.1119
-0.3800	+0.1127
-0.3700	+0.1134
-0.3600	+0.1142
-0.3500	+0.1149
-0.3400	+0.1156
-0.3300	+0.1163
-0.3200	+0.1170
-0.3100	+0.1177
-0.3000	+0.1184
-0.2900	+0.1192
-0.2800	+0.1199
-0.2700	+0.1206
-0.2600	+0.1213
-0.2500	+0.1220
-0.2400	+0.1227
-0.2300	+0.1234
-0.2200	+0.1241
-0.2100	+0.1248
-0.2000	+0.1255
-0.1900	+0.1263
-0.1800	+0.1270
-0.1700	+0.1278
-0.1600	+0.1285
-0.1500	+0.1293
-0.1400	+0.1300
-0.1300	+0.1308
-0.1200	+0.1316
-0.1100	+0.1324
-0.1000	+0.1332
-0.0900	+0.1340
-0.0800	+0.1348
-0.0700	+0.1357
-0.0600	+0.1365
-0.0500	+0.1374
-0.0400	+0.1383
-0.0300	+0.1391
-0.0200	+0.1400
-0.0100	+0.1410
+0.0000	+0.1419
+0.0100	+0.1428
+0.0200	+0.1438
+0.0300	+0.1448
+0.0400	+0.1457
+0.0500	+0.1467
+0.0600	+0.1478
+0.0700	+0.1488
+0.0800	+0.1498
+0.0900	+0.1509
+0.1000	+0.1520
+0.1100	+0.1531
+0.1200	+0.1542
+0.1300	+0.1553
+0.1400	+0.1564
+0.1500	+0.1576
+0.1600	+0.1587
+0.1700	+0.1599
+0.1800	+0.1611
+0.1900	+0.1623
+0.2000	+0.1635
+0.2100	+0.1648
+0.2200	+0.1660
+0.2300	+0.1673
+0.2400	+0.1686
+0.2500	+0.1698
+0.2600	+0.1712
+0.2700	+0.1725
+0.2800	+0.1738
+0.2900	+0.1751
+0.3000	+0.1765
+0.3100	+0.1779
+0.3200	+0.1792
+0.3300	+0.1806
+0.3400	+0.1820
+0.3500	+0.1834
+0.3600	+0.1849
+0.3700	+0.1863
+0.3800	+0.1877
+0.3900	+0.1892
+0.4000	+0.1906
+0.4100	+0.1921
+0.4200	+0.1935
+0.4300	+0.1950
+0.4400	+0.1965
+0.4500	+0.1980
+0.4600	+0.1994
+0.4700	+0.2009
+0.4800	+0.2024
+0.4900	+0.2039
+0.5000	+0.2054
+0.5100	+0.2069
+0.5200	+0.2084
+0.5300	+0.2098
+0.5400	+0.2113
+0.5500	+0.2128
+0.5600	+0.2143
+0.5700	+0.2158
+0.5800	+0.2172
+0.5900	+0.2187
+0.6000	+0.2201
+0.6100	+0.2216
+0.6200	+0.2230
+0.6300	+0.2244
+0.6400	+0.2258
+0.6500	+0.2272
+0.6600	+0.2286
+0.6700	+0.2299
+0.6800	+0.2313
+0.6900	+0.2326
+0.7000	+0.2339
+0.7100	+0.2352
+0.7200	+0.2364
+0.7300	+0.2377
+0.7400	+0.2389
+0.7500	+0.2401
+0.7600	+0.2413
+0.7700	+0.2424
+0.7800	+0.2435
+0.7900	+0.2446
+0.8000	+0.2456
+0.8100	+0.2466
+0.8200	+0.2476
+0.8300	+0.2485
+0.8400	+0.2494
+0.8500	+0.2502
+0.8600	+0.2511
+0.8700	+0.2518
+0.8800	+0.2525
+0.8900	+0.2532
+0.9000	+0.2538
+0.9100	+0.2544
+0.9200	+0.2549
+0.9300	+0.2554
+0.9400	+0.2558
+0.9500	+0.2561
+0.9600	+0.2564
+0.9700	+0.2567
+0.9800	+0.2568
+0.9900	+0.2569
+1.0000	+0.2570

y,	phi(0,y)
-1.0000	+0.0000
-0.9900	+0.0044
-0.9800	+0.0087
-0.9700	+0.0130
-0.9600	+0.0171
-0.9500	+0.0211
-0.9400	+0.0250
-0.9300	+0.0289
-0.9200	+0.0326
-0.9100	+0.0363
-0.9000	+0.0398
-0.8900	+0.0433
-0.8800	+0.0467
-0.8700	+0.0500
-0.8600	+0.0532
-0.8500	+0.0563
-0.8400	+0.0593
-0.8300	+0.0623
-0.8200	+0.0652
-0.8100	+0.0679
-0.8000	+0.0706
-0.7900	+0.0733
-0.7800	+0.0758
-0.7700	+0.0783
-0.7600	+0.0807
-0.7500	+0.0830
-0.7400	+0.0853
-0.7300	+0.0875
-0.7200	+0.0896
-0.7100	+0.0916
-0.7000	+0.0936
-0.6900	+0.0955
-0.6800	+0.0974
-0.6700	+0.0991
-0.6600	+0.1009
-0.6500	+0.1025
-0.6400	+0.1041
-0.6300	+0.1057
-0.6200	+0.1072
-0.6100	+0.1086
-0.6000	+0.1100
-0.5900	+0.1113
-0.5800	+0.1126
-0.5700	+0.1138
-0.5600	+0.1150
-0.5500	+0.1161
-0.5400	+0.1172
-0.5300	+0.1183
-0.5200	+0.1193
-0.5100	+0.1203
-0.5000	+0.1212
-0.4900	+0.1221
-0.4800	+0.1230
-0.4700	+0.1238
-0.4600	+0.1246
-0.4500	+0.1253
-0.4400	+0.1261
-0.4300	+0.1268
-0.4200	+0.1274
-0.4100	+0.1281
